Date,Lie,Url,Explanation
2017-02-16,We had a very smooth rollout of the travel ban. But we had a bad court. Got a bad decision.,https://www.washingtonpost.com/news/fact-checker/wp/2017/02/16/fact-checking-president-trumps-news-conference/?utm_term=.517d64230dcf,The rollout was chaotic.
2017-02-16,"They’re giving stuff — what was said at an office about Hillary cheating on the debates. Which, by the way, nobody mentions. Nobody mentions that Hillary received the questions to the debates.",http://www.politifact.com/truth-o-meter/article/2017/feb/16/fact-checking-donald-trumps-press-conference/,It was widely covered.
2017-02-18,And there was no way to vet those people. There was no documentation. There was no nothing.,https://www.nytimes.com/interactive/2017/01/29/us/refugee-vetting-process.html,"Refugees receive multiple background checks, taking up to two years."
2017-02-18,"You look at what's happening in Germany, you look at what's happening last night in Sweden. Sweden, who would believe this?",https://www.nytimes.com/2017/02/19/world/europe/last-night-in-sweden-trumps-remark-baffles-a-nation.html?rref=collection%2Ftimestopic%2FSweden&action=click&contentCollection=world&region=stream&module=stream_unit&version=latest&contentPlacement=7&pgtype=collection,"Trump implied there was a terror attack in Sweden, but there was no such attack."
2017-02-24,"By the way, you folks are in here — this place is packed, there are lines that go back six blocks.",http://thehill.com/homenews/administration/320988-trump-falsely-claims-lines-go-back-6-blocks-for-cpac-speech,There was no evidence of long lines.
2017-02-24,ICE came and endorsed me.,http://www.politifact.com/truth-o-meter/statements/2016/oct/10/donald-trump/trump-says-ice-endorsed-him/,Only its union did.
2017-02-24,"Obamacare covers very few people — and remember, deduct from the number all of the people that had great health care that they loved that was taken away from them — it was taken away from them.",https://www.nytimes.com/2017/02/24/us/politics/fact-check-trump-blasts-fake-news-and-repeats-inaccurate-claims-at-cpac.html,Obamacare increased coverage by a net of about 20 million.
2017-02-27,"Since Obamacare went into effect, nearly half of the insurers are stopped and have stopped from participating in the Obamacare exchanges.",http://www.heritage.org/health-care-reform/report/the-2017-health-insurance-exchanges-major-decrease-competition-and-choice,Many fewer pulled out.
2017-02-27,"On one plane, on a small order of one plane, I saved $725 million. And I would say I devoted about, if I added it up, all those calls, probably about an hour. So I think that might be my highest and best use.",https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,Much of the price cut was already projected.
2017-02-28,"And now, based on our very strong and frank discussions, they are beginning to do just that.",https://www.nytimes.com/2017/03/01/us/politics/fact-check-trump-military.html,NATO countries agreed to meet defense spending requirements in 2014.
2017-02-28,The E.P.A.’s regulators were putting people out of jobs by the hundreds of thousands.,http://www.nytimes.com/2011/09/05/business/economy/a-debate-arises-on-job-creation-vs-environmental-regulation.html,There's no evidence that the Waters of the United States rule caused severe job losses.
2017-02-28,We have begun to drain the swamp of government corruption by imposing a five-year ban on lobbying by executive branch officials.,https://www.washingtonpost.com/politics/2017/live-updates/trump-white-house/real-time-fact-checking-and-analysis-of-trumps-address-to-congress/fact-check-bans-on-lobbying/?utm_term=.ce1370a2b78d,They can't lobby their former agency but can still become lobbyists.
2017-03-03,It is so pathetic that the Dems have still not approved my full Cabinet.,https://www.washingtonpost.com/news/politics/wp/2017/03/03/trump-is-blaming-the-democrats-for-cabinet-delays-that-are-normal-and-his-own-fault/?utm_term=.68b1395b9ff1,Paperwork for the last two candidates was still not submitted to the Senate.
2017-03-04,Terrible! Just found out that Obama had my ‘wires tapped’ in Trump Tower just before the victory. Nothing found. This is McCarthyism!,https://www.nytimes.com/2017/03/04/us/politics/trump-obama-tap-phones.html,There's no evidence of a wiretap.
2017-03-04,How low has President Obama gone to tap my phones during the very sacred election process. This is Nixon/Watergate. Bad (or sick) guy!,https://www.nytimes.com/2017/03/04/us/politics/trump-obama-tap-phones.html,There's no evidence of a wiretap.
2017-03-07,"122 vicious prisoners, released by the Obama Administration from Gitmo, have returned to the battlefield. Just another terrible decision!",https://www.nytimes.com/2017/03/07/us/politics/guantanamo-bay-trump.html,113 of them were released by President George W. Bush.
2017-03-13,"I saved a lot of money on those jets, didn't I? Did I do a good job? More than $725 million on them.",https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,Much of the cost cuts were planned before Trump.
2017-03-13,"First of all, it covers very few people.",https://www.nytimes.com/2017/03/13/us/politics/fact-check-trump-obamacare-health-care.html,About 20 million people gained insurance under Obamacare.
